module,module_name,reactions
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","R01786, R02189, R09085, R13199, R00756, R05805, R01068, R01015, R01061, R01063, R01512, R07159, R01518, R00658, R00200"
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc","R01786, R02189, R00959, R00289"
M00002,"Glycolysis, core module involving three-carbon compounds","R01015, R01061, R01063, R01512, R07159, R01518, R00658, R00200"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P","R00431, R00726, R00341, R00658, R01518, R01512, R01061, R01063, R01015, R01068, R00762"
M00004,Pentose phosphate pathway (Pentose phosphate cycle),"R02736, R10907, R02035, R01528, R10221, R01529, R01056, R01641, R08575, R01067, R13199, R02739"
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P","R02736, R10907, R02035, R01528, R10221"
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P","R01067, R08575, R01641, R01529, R01056"
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA","R00209, R01196, R00014, R03270, R02569, R07618"
M00009,"Citrate cycle (TCA cycle, Krebs cycle)","R00351, R01325, R01900, R01324, R01899, R00268, R00267, R00709, R00621, R03316, R01700, R02570, R07618, R01197, R00405, R00432, R00727, R10343, R02164, R01082, R00342, R00361"
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","R00621, R03316, R01700, R02570, R07618, R01197, R00405, R00432, R00727, R10343, R02164, R01082, R00342, R00361"
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA","R00716, R02313, R03102, R03103, R01939, R01933, R01940, R13166, R13167, R02571, R07618, R02488, R03026, R01975"
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA","R01090, R07601, R07602, R04097, R07618, R04095, R04138, R02085, R01360"
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","R00351, R01325, R01900, R01324, R01899, R00268, R00267, R00709"
M00152,Cytochrome bc1 complex,R02161
M00154,Cytochrome c oxidase,R00081
M00158,"F-type ATPase, eukaryotes",R00086
M00160,"V-type ATPase, eukaryotes",R00086
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP","R01130, R01230, R01231, R00332, R00330"
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP","R01135, R01083, R00127, R00333, R00331"
M00086,"beta-Oxidation, acyl-CoA synthesis",R01280
M00087,beta-Oxidation,"R01279, R04738, R04737, R03991, R03990, R04740, R04739, R03858, R03857, R04170, R04741, R04742, R04754, R04744, R04743, R03778, R03777, R04746, R04745, R04747, R04751, R04749, R04748, R01177, R01175, R03026, R01975, R00238"
M00085,Fatty acid elongation in mitochondria,"R00391, R01778, R02685, R07162, R01177, R04748, R04749, R06985, R04747, R04745, R04746, R03776, R03778, R04743, R04744, R04753, R04742, R04741, R04170, R03856, R03858, R04739, R04740, R03989, R03991, R04737, R04738, R01278"
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway","R00238, R01978, R02082, R02245, R03245, R01121, R01123"
M00082,"Fatty acid biosynthesis, initiation","R00742, R01626, R01624, R04355, R10707"
M00083,"Fatty acid biosynthesis, elongation","R04355, R04533, R04428, R04429, R04430, R04952, R04953, R04954, R04955, R04956, R04957, R04536, R04537, R04958, R04959, R04960, R04534, R04535, R04961, R04962, R04963, R04964, R04965, R04724, R04725, R04726, R04566, R04568, R04966, R04967, R04968, R04543, R04544, R04969, R04970"
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA","R01859, R02765, R00833"
M00034,Methionine salvage pathway,"R00177, R00178, R01920, R01401, R04143, R01402, R04420, R07392, R07393, R07394, R07395, R07364, R07396, R12507"
M00035,Methionine degradation,"R00177, R00367, R04858, R00192, R01290"
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine","R01290, R01001"
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate","R00678, R01959, R01960, R02668, R02665, R04323, R03889"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD","R00678, R01959, R01960, R02668, R02665, R04293, R03348, R03005, R00189, R00257"
M00970,"Proline degradation, proline => glutamate","R01253, R03314, R00245, R13148"
M00972,Proline metabolism,"R00667, R03314, R01248, R01251, R01253"
M00015,"Proline biosynthesis, glutamate => proline","R00239, R03313, R03314, R01251"
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine","R00551, R13308, R00670"
M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA","R01154, R01156, R04025, R05050, R01987"
M00027,GABA (gamma-Aminobutyrate) shunt,"R00261, R01648, R10178, R00713, R00714"
M00020,"Serine biosynthesis, glycerate-3P => serine","R01513, R04173, R00582"
M00141,"C1-unit interconversion, eukaryotes","R00945, R01220, R01218, R01655, R00943"
M00621,Glycine cleavage system,"R03425, R04125, R03815, R01221"
M00029,Urea cycle,"R00149, R01398, R01954, R01086, R00551"
M00844,"Arginine biosynthesis, ornithine => arginine","R01398, R01954, R01086"
M00118,"Glutathione biosynthesis, glutamate => glutathione","R00894, R00497"
M00044,"Tyrosine degradation, tyrosine => homogentisate","R00734, R00729, R02521, R02519, R03181, R01364"
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate","R01168, R02914, R02288, R02285, R02287, R02286, R00525"
M00047,Creatine pathway,"R00565, R01883, R01881, R07420"
M00958,"Adenine ribonucleotide degradation, AMP => Urate","R00181, R01126, R00183, R01560, R01863, R01768, R01769, R02103, R02107"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme","R00830, R00036, R00084, R03165, R03197, R03220, R03222, R00310"
M00089,Triacylglycerol biosynthesis,"R00851, R02241, R02239, R02251"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP","R00158, R00156, R00571, R00573, R00570"
M00855,"Glycogen degradation, glycogen => glucose-6P","R02111, R08639"
M00014,Glucuronate pathway (uronate pathway),"R00286, R01381, R01476, R01383, R01478, R01481, R02640, R01905, R01904, R01896, R01639"
M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch","R00289, R00292, R00948, R02421, R02110"
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P","R10619, R01092, R00955, R00291"
M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal","R01092, R00955"
M01000,"GDP-Man biosynthesis, Fru-6P => GDP-Man","R00772, R01818, R00885"
M01015,"GDP-Man biosynthesis, Man => GDP-Man","R01326, R01818, R00885"
M01016,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc","R00888, R05692"
M01001,"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc","R03161, R01951"
M00005,"PRPP biosynthesis, ribose-5P => PRPP",R01049
M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP","R01072, R04144, R04325, R04463, R04208, R04209, R07404, R07405, R04591, R04559, R04560, R06975, R01127"
M00959,"Guanine ribonucleotide degradation, GMP => Urate","R01227, R02147, R01676, R02103, R02107"
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP","R02017, R01137, R02019, R01857, R02024, R02326, R02018, R02331"
M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP","R02018, R02331, R02100, R02101, R06613, R02094, R02093"
M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP","R00575, R01397, R01993, R01867, R01868, R01869, R01870, R00965"
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate","R00978, R00977, R02269, R00905, R01415, R11026, R03055, R04666"
M00555,"Betaine biosynthesis, choline => betaine","R01025, R08557, R08558, R07409, R01022, R02565, R02566, R08211"
M00974,"Betaine metabolism, animals, betaine => glycine","R02821, R01565, R00610, R00611"
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline","R00731, R01815, R02080, R02535, R02533"
M00892,"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc","R00768, R02058, R08193, R00416"
M01003,"UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc","R01201, R08193, R00416"
M00955,"CMP-Neu5Ac/Neu5Gc biosynthesis, animals, UDP-GlcNAc => CMP-Neu5Ac => CMP-Neu5Gc","R00414, R02705, R04435, R01805, R01117, R01115"
